iter,scores
4,0.12
14,0.24
19,0.96
24,0.44
29,1.04
34,0.8
39,1.0
44,1.04
49,1.04
54,1.04
59,1.0
64,1.12
69,1.0
74,1.08
79,1.04
84,1.12
89,1.04
94,1.04
99,1.0
