iter,scores
14,0.12
19,0.04
24,0.2
29,0.16
34,0.08
39,0.8
44,1.0
49,0.88
54,1.2
59,1.04
64,1.08
69,1.04
74,1.04
79,1.12
84,1.2
89,1.16
94,1.12
99,1.0
