iter,scores
9,0.08
24,0.12
29,0.84
34,0.08
39,0.92
44,0.56
49,0.6
54,1.08
59,1.04
64,1.04
69,1.08
74,1.08
79,1.08
84,1.2
89,1.0
94,1.0
99,1.0
