iter,scores
9,0.04
14,0.12
19,0.12
24,0.16
29,0.64
34,0.8
39,1.0
44,1.08
49,1.16
54,1.16
59,1.16
64,1.12
69,1.04
74,1.16
79,1.0
84,1.12
89,1.08
94,1.12
99,1.12
