iter,scores
9,0.08
14,0.16
19,0.24
24,0.28
29,0.36
34,0.36
39,0.48
44,0.8
49,0.48
54,1.08
59,0.52
64,1.04
69,1.04
74,1.0
79,1.04
84,1.08
89,1.04
94,1.12
99,1.12
