iter,scores
9,0.16
14,0.44
19,0.48
24,0.8
34,0.08
39,1.0
44,1.0
49,1.04
54,1.0
59,1.04
64,1.2
69,1.04
74,1.08
79,1.12
84,1.08
89,1.08
94,1.08
99,1.08
