iter,scores
4,0.52
9,0.4
14,0.08
19,0.76
24,1.04
29,0.8
34,1.2
39,1.08
44,1.04
49,1.04
54,1.04
59,1.0
64,1.04
69,1.0
74,1.08
79,1.08
84,1.04
89,1.04
94,1.0
99,1.04
