iter,scores
9,0.92
14,0.2
19,0.16
24,0.16
29,0.96
34,1.04
39,1.0
44,1.08
49,1.04
54,0.96
59,1.0
64,1.12
69,1.0
74,1.0
79,1.0
84,1.0
89,1.0
94,1.04
99,1.0
