iter,scores
4,0.16
9,0.04
14,0.36
19,0.68
24,0.24
29,0.84
34,1.08
39,1.08
44,1.0
49,1.16
54,1.04
59,1.08
64,1.04
69,1.0
74,1.08
79,1.0
84,1.0
89,1.0
94,1.04
99,1.08
