iter,scores
24,0.12
29,0.04
34,0.04
39,0.08
44,0.12
49,0.08
54,1.04
59,1.04
64,1.0
69,1.2
74,1.12
79,1.0
84,1.24
89,1.08
94,1.0
99,1.0
