iter,scores
4,0.12
9,0.4
14,0.4
19,0.2
24,0.56
29,0.68
34,0.44
39,1.0
44,0.72
49,1.0
54,1.08
59,1.2
64,1.08
69,1.0
74,1.28
79,1.16
84,1.12
89,1.24
94,1.12
99,1.28
