iter,scores
9,0.44
14,0.56
19,0.44
24,0.68
29,1.0
34,0.72
39,0.84
44,1.04
49,1.0
54,1.16
59,1.12
64,1.0
69,1.0
74,1.08
79,1.0
84,1.04
89,1.04
94,1.04
99,1.04
