iter,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.004999998956918716,0.004999998956918716,0.004999998956918716,0.004999998025596142,0.004999998956918716,0.004999998956918716,0.004999999422580004,0.004999998025596142,0.004999999888241291
3,0.007486059330403805,0.010006241500377655,0.00983828492462635,0.009956941939890385,0.009808416478335857,0.00982717052102089,0.009866569191217422,0.009840019978582859,0.009917708113789558
4,0.01119273342192173,0.014861195348203182,0.014292358420789242,0.014831171371042728,0.014535119757056236,0.013299425132572651,0.01470622792840004,0.014752361923456192,0.014585888013243675
5,0.014953164383769035,0.01978551596403122,0.01869925670325756,0.01908346451818943,0.019375421106815338,0.016922011971473694,0.019461840391159058,0.019702283665537834,0.01899903081357479
6,0.01907050982117653,0.024199891835451126,0.023286983370780945,0.023585818707942963,0.02428366430103779,0.02037307433784008,0.023779861629009247,0.02445315755903721,0.02361941710114479
7,0.0233513992279768,0.028563719242811203,0.028021812438964844,0.02751607820391655,0.02918369695544243,0.02432592399418354,0.02797069400548935,0.028645478188991547,0.02837514504790306
8,0.02767765149474144,0.032144997268915176,0.03274759650230408,0.03129170462489128,0.033821139484643936,0.02804231084883213,0.03217209875583649,0.03270305320620537,0.03270763158798218
9,0.03158711642026901,0.03608393669128418,0.037181343883275986,0.03535069525241852,0.03833702951669693,0.03191618621349335,0.036624517291784286,0.036954134702682495,0.03678853064775467
10,0.03536636009812355,0.04029955342411995,0.04175954684615135,0.03969288617372513,0.0425780788064003,0.03575087711215019,0.0408068485558033,0.0406804159283638,0.04106618091464043
11,0.03858014941215515,0.04407631605863571,0.0464903824031353,0.04418075084686279,0.04706450551748276,0.03993392735719681,0.04496261849999428,0.04407085105776787,0.04533776268362999
12,0.04210996627807617,0.04807836189866066,0.05068228393793106,0.04851889982819557,0.05162251368165016,0.04436124861240387,0.04929405823349953,0.04736524075269699,0.049489427357912064
13,0.04588307812809944,0.05156558379530907,0.05472402274608612,0.0529494509100914,0.05620507895946503,0.0484355166554451,0.05369498208165169,0.051145464181900024,0.053406257182359695
14,0.04963941127061844,0.05529750883579254,0.05862918868660927,0.05739351734519005,0.060866232961416245,0.05240705609321594,0.05819891765713692,0.05460090562701225,0.05721181631088257
15,0.05328429862856865,0.05840589106082916,0.06211506947875023,0.06183110177516937,0.06536880880594254,0.05672350898385048,0.06285819411277771,0.0583149716258049,0.06075635924935341
16,0.05701422318816185,0.06201658770442009,0.06582765281200409,0.06645254790782928,0.06956808269023895,0.061170510947704315,0.06735391169786453,0.06174440681934357,0.06407033652067184
17,0.06053847074508667,0.06531991064548492,0.06964874267578125,0.07127216458320618,0.0734674483537674,0.06551259011030197,0.07179804891347885,0.0653986856341362,0.06709744781255722
18,0.06396074593067169,0.06880150735378265,0.07347599416971207,0.07629154622554779,0.07706132531166077,0.06947828084230423,0.07554895430803299,0.06893317401409149,0.06979300081729889
19,0.06694123893976212,0.07223298400640488,0.0776834636926651,0.08115120232105255,0.08012235164642334,0.07351807504892349,0.0794009417295456,0.07165062427520752,0.07202829420566559
20,0.07007662951946259,0.07579892128705978,0.0816313847899437,0.08609119802713394,0.0827389508485794,0.07730545103549957,0.08330368250608444,0.0742378905415535,0.07361601293087006
21,0.07296635210514069,0.07885994017124176,0.08575833588838577,0.0910954549908638,0.0850539356470108,0.0811273530125618,0.08718132227659225,0.07666470855474472,0.07444558292627335
