iter,loss,value_loss,prob_loss
5,1.8596052408218384,0.5667905762791634,1.2928146779537202
6,1.2300047159194947,0.533469669520855,0.6965350538492203
7,1.1152149498462678,0.5066852018237114,0.6085297584533691
8,1.0996700018644332,0.4909454882144928,0.6087245151400567
9,1.1076868236064912,0.4846030488610268,0.6230837851762772
10,1.1162234216928482,0.4809101477265358,0.6353132799267769
11,1.0982217073440552,0.4634299412369728,0.6347917646169663
12,1.077825775742531,0.4482382729649544,0.6295874953269959
13,1.0707553684711457,0.4382256641983986,0.632529704272747
14,1.0521592557430268,0.4266124039888382,0.6255468457937241
15,1.041934034228325,0.41631935685873034,0.6256146550178527
16,1.0360206931829452,0.4118349924683571,0.624185711145401
17,0.984745928645134,0.38211444169282915,0.6026314944028854
18,0.9721989154815673,0.3808087810873985,0.591390137374401
19,0.9594784438610077,0.3808252885937691,0.5786531552672386
20,0.9423760712146759,0.3716354690492153,0.5707405999302864
21,0.945348459482193,0.3730344012379646,0.5723140627145767
22,0.9148631960153579,0.35222663879394533,0.5626365602016449
23,0.8856177657842637,0.3300184041261673,0.5555993512272834
24,0.8576336801052094,0.3120878726243973,0.545545794069767
25,0.8477353930473328,0.3042778141796589,0.5434575870633125
26,0.844922611117363,0.30335256904363633,0.5415700405836106
27,0.8048498511314393,0.27785776257514955,0.5269920885562897
28,0.8240712940692901,0.283504232019186,0.5405670672655105
29,0.7982397884130478,0.28065949827432635,0.517580296099186
