iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
25,0.008188983425498009,0.0024200701154768467,0.005725189112126827,0.0039667487144470215,0.00494917668402195,0.0050494251772761345,0.004342430736869574,0.043837353587150574,0.015132147818803787,0.011411014944314957,0.0881829783320427,0.04483199119567871,0.022672545164823532,0.019434301182627678,0.01476994063705206,0.021592890843749046,0.015344190411269665,0.06178648769855499,0.02536335028707981,0.31554436683654785,0.12127114832401276
26,0.007511401083320379,0.002032313495874405,0.0019311760552227497,0.003157072700560093,0.0034768953919410706,0.006546535063534975,0.007778475061058998,0.052504733204841614,0.012354349717497826,0.007161786779761314,0.06707733124494553,0.14547167718410492,0.02033006027340889,0.015509294345974922,0.0052510155364871025,0.027432190254330635,0.014413898810744286,0.05335499346256256,0.018661491572856903,0.42633163928985596,0.06782402098178864
27,0.0066445134580135345,0.0022666756995022297,0.01078413799405098,0.003569024847820401,0.007703729439526796,0.006753754802048206,0.006012197583913803,0.06484944373369217,0.014823367819190025,0.02216893434524536,0.03736502304673195,0.20676173269748688,0.025425419211387634,0.019210971891880035,0.027088509872555733,0.02671634964644909,0.02640661969780922,0.05238113924860954,0.016667503863573074,0.430826872587204,0.14162856340408325
28,0.007277980446815491,0.0015725883422419429,0.005370283033698797,0.0028168410062789917,0.004488345701247454,0.009331557899713516,0.007000337354838848,0.05600035935640335,0.011826323345303535,0.0159702580422163,0.055055633187294006,0.1866576373577118,0.023644564673304558,0.011413224041461945,0.016471991315484047,0.019110316410660744,0.016617929562926292,0.08926348388195038,0.026099422946572304,0.5464975833892822,0.10621961951255798
29,0.00773376040160656,0.0022074554581195116,0.0022301869466900826,0.0029358500614762306,0.0038223406299948692,0.004712111782282591,0.0041395858861505985,0.06391759216785431,0.01036129891872406,0.009451891295611858,0.04214499145746231,0.014745980501174927,0.022436149418354034,0.021438976749777794,0.006339735351502895,0.018123768270015717,0.010157360695302486,0.04997926950454712,0.01696023717522621,0.5633124709129333,0.1312808096408844
30,0.008199568837881088,0.00204014265909791,0.006276714149862528,0.004465283825993538,0.005253785289824009,0.012840106151998043,0.011075966991484165,0.08109702169895172,0.017260853201150894,0.012594335712492466,0.06881995499134064,0.17471688985824585,0.023393120616674423,0.013757678680121899,0.01874140277504921,0.028142506256699562,0.01720854640007019,0.12163843214511871,0.03742498904466629,1.1336411237716675,0.12655657529830933
31,0.005117206834256649,0.0024966043420135975,0.014009406790137291,0.006709951441735029,0.010374125093221664,0.009441744536161423,0.006935544312000275,0.04839109256863594,0.03260474652051926,0.030223065987229347,0.09130028635263443,0.40554916858673096,0.014899145811796188,0.01867426000535488,0.037146102637052536,0.04727566987276077,0.033414535224437714,0.09702847898006439,0.02812603861093521,0.3501681983470917,0.23106971383094788
32,0.00871087983250618,0.0024418828543275595,0.004784774500876665,0.004009665455669165,0.0049302768893539906,0.017183316871523857,0.01409491803497076,0.10634443908929825,0.01423606462776661,0.008392521180212498,0.06281235069036484,0.00285165011882782,0.034094300121068954,0.024351313710212708,0.013677878305315971,0.027073955163359642,0.0208959449082613,0.15398624539375305,0.052659764885902405,0.6044161915779114,0.15928442776203156
33,0.004975865129381418,0.0015465108444914222,0.005679933354258537,0.003386786440387368,0.004461428616195917,0.008411182090640068,0.006581144407391548,0.07765954732894897,0.012297365814447403,0.010993667878210545,0.02929624170064926,0.13293519616127014,0.016859831288456917,0.01264612004160881,0.017383534461259842,0.026972467079758644,0.017935024574398994,0.09222672134637833,0.023032259196043015,0.5220982432365417,0.1321590095758438
34,0.007887882180511951,0.0019115558825433254,0.0015271586598828435,0.0033933562226593494,0.002102270256727934,0.007348211947828531,0.005395814776420593,0.05227873846888542,0.009699747897684574,0.003239631885662675,0.06200893968343735,0.02449239045381546,0.028423458337783813,0.019189301878213882,0.005199322942644358,0.017356250435113907,0.010085918940603733,0.09121083468198776,0.02008003368973732,0.3650684952735901,0.11737833172082901
