iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
11,0.006128805223852396,0.002287036506459117,0.0023466707207262516,0.0025490066036581993,0.007686893921345472,0.0030767705757170916,0.01258036121726036,0.02063179761171341,0.017404800280928612,0.02425340935587883,0.05509091168642044,0.0894409567117691,0.043182726949453354,0.05161347612738609,3.643377567641437e-06,1.3623503036797047e-07,0.0,0.0,0.0,0.0,0.0
12,0.00674667302519083,0.0017853016033768654,0.0020681738387793303,0.0031468889210373163,0.009355029091238976,0.004245266783982515,0.011068977415561676,0.02350005879998207,0.009849010035395622,0.025869878008961678,0.060124076902866364,0.09596425294876099,0.0473114550113678,0.0438523143529892,0.00023417721968144178,1.6202102415263653e-07,0.0,0.0,0.0,0.0,0.0
13,0.004848809447139502,0.001942589646205306,0.0022221351973712444,0.003581488970667124,0.010563299059867859,0.004067323170602322,0.02704431116580963,0.010835615918040276,0.009851696901023388,0.025286532938480377,0.06764495372772217,0.07359767705202103,0.049604810774326324,0.08322194218635559,4.575238563120365e-05,1.0146759450435638e-06,0.0,0.0,0.0,0.0,0.0
14,0.012320417910814285,0.004102393984794617,0.005326847545802593,0.003695352701470256,0.013117718510329723,0.013273295015096664,0.07700923085212708,0.03552435338497162,0.027258791029453278,0.06119902804493904,0.09562423825263977,0.14782539010047913,0.15887980163097382,0.21974095702171326,0.001046513207256794,3.838169504888356e-06,0.0,0.0,0.0,0.0,0.0
15,0.012677609920501709,0.0032982195261865854,0.004306573420763016,0.0046420469880104065,0.015858441591262817,0.005301950965076685,0.03435208648443222,0.034053705632686615,0.022505605593323708,0.04902775585651398,0.08982525020837784,0.11284024268388748,0.05395127087831497,0.1059798076748848,0.00036375445779412985,1.4039687812328339e-07,0.0,0.0,0.0,0.0,0.0
16,0.011878321878612041,0.0035114630591124296,0.00425572507083416,0.005028744228184223,0.01759875938296318,0.006628267467021942,0.031055541709065437,0.03642450273036957,0.022383932024240494,0.04364078491926193,0.08239005506038666,0.24694910645484924,0.09727445989847183,0.07571817934513092,0.0005368122947402298,1.4901161193847656e-07,0.0,0.0,0.0,0.0,0.0
17,0.009909329004585743,0.00321393134072423,0.004213410429656506,0.005372205283492804,0.021189993247389793,0.011287221685051918,0.05718924477696419,0.03071834333240986,0.020361796021461487,0.04395033046603203,0.0980372279882431,0.14328624308109283,0.10749766230583191,0.13976535201072693,2.2080261260271072e-05,3.0538649298250675e-06,0.0,0.0,0.0,0.0,0.0
18,0.008804383687675,0.002452574437484145,0.0031933123245835304,0.004486212506890297,0.017526326701045036,0.001885123085230589,0.0033717690967023373,0.026328889653086662,0.013703419826924801,0.041010938584804535,0.06495805084705353,0.18835049867630005,0.019296912476420403,0.015538342297077179,9.50489193201065e-05,3.759050741791725e-06,0.0,0.0,0.0,0.0,0.0
19,0.009370151907205582,0.003629527287557721,0.00424529192969203,0.005520555190742016,0.021928323432803154,0.008486240170896053,0.029205024242401123,0.028828367590904236,0.018192024901509285,0.053036004304885864,0.0886259526014328,0.18095527589321136,0.09639853239059448,0.09411799907684326,0.00026637595146894455,2.501881681382656e-06,0.0,0.0,0.0,0.0,0.0
20,0.012394183315336704,0.0032680616714060307,0.004333111923187971,0.004168358165770769,0.029193861410021782,0.007976170629262924,0.027250951156020164,0.04985051974654198,0.020205045118927956,0.038483887910842896,0.07500594109296799,0.19917218387126923,0.0845855101943016,0.07588746398687363,0.00011859065853059292,9.74464273895137e-06,0.0,0.0,0.0,0.0,0.0
